Bait,Protein,predicted_probability,FDR,n_peptides,n_background,mean_cv,background_flag_protein
LMNA,SLC25A24,0.46479999999999966,0.500844383865453,4,0,3.3349071713040233,
LMNA,SLC25A3,0.5507000000000002,0.2804973461639424,5,2,1.6174338673900273,
LMNA,SLC25A4,0.8850999999999999,0.010505394662123793,3,1,2.620217248663873,
LMNA,SLC25A5,0.7995,0.10778829919988255,12,8,1.5562878332877992,likely background
LMNA,SLC25A6,0.8268,0.058177442292965766,5,0,2.754350949504728,
LMNA,SLC26A2,0.6636000000000002,0.17515208061205448,2,1,2.983590672973465,likely background
LMNA,SLC27A4,0.7376999999999998,0.15795548797345868,13,2,2.4717508153079715,
LMNA,SLC2A1,0.7039000000000002,0.17418924774189248,8,4,1.4959691657574388,likely background
LMNA,SLC30A1,0.0,1.0,4,0,2.52738307315966,
LMNA,SLC30A6,0.03369999999999998,1.0,7,0,2.8806565709056136,
LMNA,SLC30A7,0.010000000000000004,1.0,2,1,1.6381799638540455,likely background
LMNA,SLC30A9,0.0,1.0,2,0,4.062183177706729,
LMNA,SLC33A1,0.819,0.07197495183044315,5,0,2.254663823993449,
LMNA,SLC35B2,0.7825,0.13828723238005938,3,0,2.929680658306229,
LMNA,SLC35C1,0.7191999999999996,0.16659762575992942,2,0,2.076134126360329,
LMNA,SLC38A2,0.5636999999999999,0.2539987682257607,3,1,1.7865102754069369,
LMNA,SLC39A10,0.9098999999999999,0.00675905664964746,2,0,2.6859377634789396,
LMNA,SLC39A14,0.4779000000000002,0.47617307608380843,2,1,1.2021857522320192,likely background
LMNA,SLC3A2,0.7236999999999996,0.16659762575992942,30,21,1.3174141727731041,likely background
LMNA,SLC4A1AP,0.7759,0.14035727141828652,11,0,2.626229419523892,
LMNA,SLC4A2,0.0,1.0,4,0,2.564281693010083,
LMNA,SLC4A7,0.0,1.0,8,0,2.2446974755949043,
LMNA,SLC7A11,0.3868000000000002,0.5916141078228142,4,1,2.705367565865006,
LMNA,SLC7A5,0.37790000000000007,0.5949606002665276,4,3,1.269912290698302,likely background
LMNA,SLF1,0.49220000000000014,0.43551275151545493,2,0,2.986460908441901,
LMNA,SLF2,0.5177,0.379913645537927,3,0,2.8525535384734777,
LMNA,SLIRP,0.0,1.0,2,0,2.7432183194869655,
LMNA,SLITRK5,0.6636000000000002,0.17515208061205448,7,3,1.853644700501444,
LMNA,SLK,0.0002,1.0,31,7,1.7553486609420659,
LMNA,SLMAP,0.0,1.0,9,0,2.88483575854923,
LMNA,SLTM,0.6124000000000003,0.2073871873168625,2,0,1.6618537052760463,
LMNA,SLU7,0.7191000000000001,0.16659762575992942,14,0,2.5009322102719054,
LMNA,SLX4,0.9861999999999996,0.000274914089347079,16,0,2.518156302109575,
LMNA,SLX9,0.4972,0.4210031567563781,3,0,3.3757790517609636,
LMNA,SMAD2,0.5629999999999997,0.2550508390510044,2,1,2.7647797923669195,likely background
LMNA,SMAP,0.7721000000000001,0.14133740476851425,4,0,1.7420327115493968,
LMNA,SMAP1,0.0001,1.0,3,1,1.4040387797135396,
LMNA,SMAP2,0.004400000000000002,1.0,5,1,1.6323575892308795,
LMNA,SMARCA1,0.9561999999999997,0.001618457300275482,17,4,1.9536935246017435,
LMNA,SMARCA2,0.5215,0.37986608982282655,13,2,2.492683461440918,
LMNA,SMARCA4,0.7630999999999998,0.14133740476851425,29,7,2.1065290711623996,
LMNA,SMARCA5,0.7694999999999996,0.14133740476851425,37,9,1.78037836270071,
LMNA,SMARCAD1,0.8253000000000001,0.05996192893401015,10,0,2.2067985110674497,
LMNA,SMARCAL1,0.7609999999999999,0.14133740476851425,13,3,2.359267608086225,
LMNA,SMARCB1,0.5168000000000001,0.3807027144804382,6,0,2.600867197085567,
LMNA,SMARCC1,0.7793999999999999,0.13915801614763554,22,3,2.241912982958583,
LMNA,SMARCC2,0.5215999999999998,0.37986608982282655,4,0,2.348600148840974,
LMNA,SMARCD1,0.41259999999999997,0.571906625286736,2,0,4.212342292455934,
LMNA,SMARCD3,0.5880000000000003,0.21863658697046162,19,1,1.7500406749822868,
LMNA,SMARCE1,0.4878000000000002,0.4583777949491604,3,0,2.0835621261399133,
LMNA,SMC1A,0.6196999999999998,0.20347900876202762,25,9,2.0092014754765604,
LMNA,SMC2,0.7350999999999996,0.15939402076620124,34,18,1.7981862069268129,likely background
LMNA,SMC3,0.5143000000000001,0.38496211443231315,12,0,2.6258702276549117,
LMNA,SMC4,0.6555,0.17530102256912933,34,18,1.6159161104205244,likely background
LMNA,SMC5,0.7111000000000002,0.17109884504681752,5,0,3.059246436928588,
LMNA,SMC6,0.6196999999999999,0.20347038447470903,7,0,2.0583188335947638,
LMNA,SMCHD1,0.7506999999999999,0.1501624640833535,48,7,2.2507207305278625,
LMNA,SMCR8,0.008400000000000005,1.0,21,5,1.9605972286934354,
LMNA,SMG1,0.0,1.0,30,0,2.7466753943378537,
LMNA,SMG5,0.0,1.0,4,0,3.556526197192831,
LMNA,SMG7,0.0036000000000000016,1.0,21,3,2.0510345610341463,
LMNA,SMG8,0.0002,1.0,13,2,1.914102293172601,
LMNA,SMG9,0.0002,1.0,12,3,1.9546271453823758,
LMNA,SMN1,0.44119999999999976,0.5489721365039026,5,4,1.2057000351679743,likely background
LMNA,SMNDC1,0.7649000000000001,0.14133740476851425,3,2,1.7064693051533062,likely background
LMNA,SMOC1,0.040599999999999976,1.0,6,0,2.1663026250975146,
LMNA,SMPD4,0.9824999999999995,0.0003460207612456748,10,0,2.3622848145165167,
LMNA,SMTN,0.7127999999999999,0.17011296614713334,7,1,2.2912749110267705,
LMNA,SMU1,0.7541000000000002,0.14525186488978292,2,0,3.7811036680431664,
LMNA,SMYD4,0.5083999999999997,0.3978583085662872,3,0,3.610249487098528,
LMNA,SMYD5,0.04149999999999997,1.0,2,0,2.1158047212095448,
LMNA,SNAP23,0.008300000000000005,1.0,8,4,1.8235194644792592,likely background
LMNA,SNAP29,0.011700000000000006,1.0,12,6,1.3869618679288032,likely background
LMNA,SNAP47,0.004200000000000002,1.0,8,1,2.211538250129724,
LMNA,SNAPC1,0.040499999999999974,1.0,2,0,4.34541069889835,
LMNA,SNAPC4,0.6695,0.17515208061205448,8,0,3.122812252547861,
LMNA,SNCA,0.4783,0.475739776567818,5,4,1.252154639833356,likely background
LMNA,SNCG,0.5394000000000001,0.34051714591561777,8,6,1.1371638669983386,likely background
LMNA,SND1,0.7562000000000001,0.14297690284161535,28,18,1.1066830910337513,likely background
LMNA,SNF8,0.5672000000000001,0.24764704638226773,5,3,1.1282394723895137,likely background
LMNA,SNIP1,0.6695,0.17515208061205448,2,0,2.9018362579946846,
LMNA,SNRNP200,0.9850999999999998,0.000274914089347079,95,27,1.744098319992459,
LMNA,SNRNP40,0.4958000000000002,0.422660318277356,4,1,1.7563005072012083,
LMNA,SNRNP48,0.527,0.37520556609740674,3,0,2.2918474788028154,
LMNA,SNRNP70,0.5518,0.2773993827995645,5,5,0.8515754423930009,likely background
LMNA,SNRPA1,0.49559999999999976,0.422660318277356,5,0,2.1177999454627723,
LMNA,SNRPB;SNRPN,0.0020000000000000005,1.0,3,0,1.4844975035506953,
LMNA,SNRPD1,0.5356000000000001,0.35464633799148326,5,1,2.859642956357767,
LMNA,SNRPD2,0.7433,0.15691318327974274,6,3,1.5768895936922804,likely background
LMNA,SNRPD3,0.3781999999999998,0.5949121968182213,2,1,1.3409002435291386,likely background
LMNA,SNRPE,0.040499999999999974,1.0,3,0,2.5833970417854357,
LMNA,SNRPG;SNRPGP15,0.5077000000000002,0.39848177655939154,2,1,1.444393395861143,likely background
LMNA,SNTB2,0.0002,1.0,3,0,2.2222592353339934,
LMNA,SNU13,0.47740000000000005,0.47717189728958626,2,2,0.5320742332376402,likely background
LMNA,SNW1,0.7873999999999998,0.13647373107747104,19,5,1.5216626537546112,
LMNA,SNX1,0.48120000000000007,0.46994787169401003,18,13,1.1238603108345366,likely background
LMNA,SNX12,0.29189999999999994,0.8420958026170784,3,2,2.397783961416218,likely background
LMNA,SNX13,0.0,1.0,5,0,2.9370023269190373,
LMNA,SNX14,0.4911000000000001,0.4383698758753045,7,1,2.2097457433997447,
LMNA,SNX17,0.9678999999999995,0.0007145859604875998,11,2,2.4483575443953876,
LMNA,SNX18,0.0063000000000000035,1.0,2,0,1.9973993367091267,
LMNA,SNX19,0.0,1.0,3,0,2.1796262373600634,
LMNA,SNX2,0.011800000000000007,1.0,11,2,2.1121716296222455,
LMNA,SNX27,0.03859999999999998,1.0,2,1,2.4812086256923687,likely background
LMNA,SNX3,0.0004,1.0,2,2,0.9726002531785447,likely background
LMNA,SNX33,0.0,1.0,4,0,3.438143671032921,
LMNA,SNX4,0.004200000000000002,1.0,11,3,2.2135415772873337,
LMNA,SNX5,0.009800000000000005,1.0,8,1,1.860503407926478,
LMNA,SNX6,0.006400000000000002,1.0,7,3,1.3966824450079844,
LMNA,SNX7,0.0002,1.0,17,4,1.836931812212154,
LMNA,SNX9,0.0002,1.0,16,7,1.912760401194824,
LMNA,SOAT1,0.7822,0.13845635845635845,8,0,2.726196130666163,
LMNA,SON,0.5572,0.2634605760954421,41,0,2.3468511688804727,
LMNA,SORBS1,0.0,1.0,2,0,3.3378896412761043,
LMNA,SORBS2,0.0,1.0,16,0,3.096595170097789,
LMNA,SORD,0.006200000000000003,1.0,3,1,1.5360333169850737,
LMNA,SOS1,0.6636000000000002,0.17515208061205448,2,0,3.289685217926234,
LMNA,SOWAHC,0.0,1.0,10,1,2.1601175118203613,
LMNA,SP100,0.7019,0.17418924774189248,5,0,1.830846054140089,
LMNA,SP2,0.7051999999999999,0.17342669432918395,3,0,2.292423103770964,
LMNA,SPAG1,0.0,1.0,2,0,2.264009990310282,
LMNA,SPAG5,0.004200000000000002,1.0,45,24,1.6864742551911178,likely background
LMNA,SPAG7,0.7983999999999999,0.11047990748771322,7,1,2.274887529839923,
LMNA,SPAG9,0.0002,1.0,41,17,1.4336208398365067,
LMNA,SPART,0.6984999999999998,0.17504549294859295,15,7,1.5813555114539601,
LMNA,SPAST,0.6968,0.17515208061205448,2,0,4.1532394971398725,
LMNA,SPATA2,0.5880999999999995,0.21863658697046162,10,6,1.1417963178662724,likely background
LMNA,SPATS2,0.0002,1.0,10,3,1.889008180288581,
LMNA,SPATS2L,0.521,0.37986608982282655,5,1,1.6920431915846101,
LMNA,SPC24,0.0,1.0,2,0,2.4569009279334844,
LMNA,SPCS2,0.8242,0.06165530068195908,5,0,3.1355939920466005,
LMNA,SPCS3,0.6614,0.17515208061205448,2,0,3.7473521823096885,
LMNA,SPDL1,0.8258,0.059236690186016676,25,13,1.5483412258089178,likely background
LMNA,SPECC1,0.006100000000000002,1.0,17,9,1.4044838721365105,likely background
LMNA,SPECC1L,0.0002,1.0,36,3,2.0510224454347488,
LMNA,SPEG,0.0,1.0,9,0,2.9439797465239796,
LMNA,SPEN,0.9707999999999996,0.0004207573632538569,61,0,2.4524190160830277,
LMNA,SPG11,0.004200000000000002,1.0,41,5,2.3988432514777625,
LMNA,SPG21,0.8153,0.07865116708183412,4,0,2.3082053959412416,
LMNA,SPICE1,0.004200000000000002,1.0,23,3,2.055624697575119,
LMNA,SPIN1,0.6613,0.17515208061205448,2,0,3.9955717874037973,
LMNA,SPIRE1,0.0,1.0,4,0,3.509939783791813,
LMNA,SPIRE2,0.0,1.0,3,0,3.602574872945329,
LMNA,SPNS1,0.5143000000000002,0.3848564864542308,5,0,2.1284390319765825,
LMNA,SPOPL,0.7103999999999999,0.17111038855470656,4,0,3.4524574627402482,
LMNA,SPRYD3,0.0,1.0,4,0,4.236061708402802,
LMNA,SPRYD4,0.0,1.0,3,0,3.5987823765045124,
LMNA,SPTAN1,0.0005,1.0,164,60,1.5856905204077014,
LMNA,SPTBN1,0.6636000000000002,0.17515208061205448,125,8,1.796780365546978,
LMNA,SPTBN2,0.006200000000000003,1.0,42,1,2.313097337482185,
LMNA,SPTLC1,0.6588999999999997,0.17521174340466383,7,1,2.4218177161935737,
LMNA,SPTY2D1,0.5225999999999998,0.37986608982282655,3,0,2.8593015165235496,
LMNA,SQOR,0.5097999999999999,0.39595141700404857,5,0,2.0678177942062335,
LMNA,SQSTM1,0.03799999999999998,1.0,12,7,1.61891516466816,likely background
LMNA,SRA1,0.5197000000000002,0.37986608982282655,5,2,1.7515310069757937,
LMNA,SRBD1,0.5915999999999998,0.21755712837809063,2,0,3.1226588536203326,
LMNA,SRCAP,0.7178999999999996,0.16659762575992942,27,2,2.879123830901335,
LMNA,SREBF1,0.03899999999999998,1.0,6,0,3.8281639672683014,
LMNA,SREBF2,0.0,1.0,5,0,3.6809487918684463,
LMNA,SREK1,0.03839999999999998,1.0,2,1,3.0082418773280204,likely background
LMNA,SRFBP1,0.7725999999999997,0.14133740476851425,8,0,1.9813708738082532,
LMNA,SRGAP1,0.0,1.0,16,0,2.473017133524391,
LMNA,SRGAP2,0.0002,1.0,21,1,1.9583796230760846,
LMNA,SRI,0.5075000000000003,0.39853434911214464,5,3,1.2507388698218658,likely background
LMNA,SRM,0.5704999999999999,0.24075479018039958,6,4,1.2573117813534116,likely background
LMNA,SRP14,0.713,0.17010567296996662,4,3,1.0551419596282647,likely background
LMNA,SRP54,0.010000000000000004,1.0,26,10,1.7287370370887982,
LMNA,SRP68,0.03879999999999997,1.0,23,6,1.855330839749955,
LMNA,SRP72,0.4946000000000003,0.4228232223728987,10,5,1.4437906849097437,likely background
LMNA,SRPK1,0.4650999999999999,0.5002068431574204,4,1,3.046231551748195,
LMNA,SRPRA,0.7908999999999999,0.13015238095238094,17,10,1.3684915879286412,likely background
LMNA,SRPRB,0.6442999999999999,0.18386728362356208,8,5,1.4555207326960116,likely background
LMNA,SRRM1,0.0063000000000000035,1.0,8,0,2.7144193145207,
LMNA,SRRM2,0.7188,0.16659762575992942,53,1,2.0722826205581337,
LMNA,SRRT,0.49560000000000004,0.422660318277356,4,0,2.883119559731519,
LMNA,SRSF10,0.6364,0.1903200894452321,5,4,1.0605851664268655,likely background
LMNA,SRSF11,0.5578000000000001,0.26220034160554606,6,1,2.6733565568379247,
LMNA,SRSF5,0.6988999999999999,0.17504549294859295,4,0,2.549150963340413,
LMNA,SRSF7,0.0002,1.0,3,1,1.779285687694934,
LMNA,SRSF9,0.7019999999999997,0.17418924774189248,3,0,1.9249620586712108,
LMNA,SSB,0.5930000000000001,0.21735718356788988,6,0,2.0839123599349447,
LMNA,SSH1,0.0,1.0,7,0,2.425027518815152,
LMNA,SSH2,0.0,1.0,20,0,2.1143197470933384,
LMNA,SSR1,0.968,0.0007036059806508355,2,0,3.099057485634143,
LMNA,SSR4,0.4992999999999999,0.4111571679906168,4,3,1.1160841837767999,likely background
